Teufe,qc,fs
[m],[MN/m²],[MN/m²]
1.3400000000,2.2987000000,0.0085000000
1.3600000000,2.2930000000,0.0087000000
1.3800000000,2.2956000000,0.0087000000
1.4000000000,2.3065000000,0.0087000000
1.4200000000,2.3259000000,0.0088000000
1.4400000000,2.3414000000,0.0089000000
1.4600000000,2.3685000000,0.0089000000
1.4800000000,2.3917000000,0.0091000000
1.5000000000,2.4227000000,0.0094000000
1.5200000000,2.4421000000,0.0096000000
1.5400000000,2.4430000000,0.0094000000
1.5600000000,2.4460000000,0.0096000000
1.5800000000,2.4460000000,0.0097000000
1.6000000000,2.4382000000,0.0099000000
1.6200000000,2.4305000000,0.0099000000
1.6400000000,2.4150000000,0.0101000000
1.6600000000,2.3995000000,0.0102000000
1.6800000000,2.3840000000,0.0102000000
1.7000000000,2.3840000000,0.0102000000
1.7200000000,2.3375000000,0.0101000000
1.7400000000,2.3181000000,0.0101000000
1.7600000000,2.3065000000,0.0101000000
1.7800000000,2.2755000000,0.0103000000
1.8000000000,2.2368000000,0.0105000000
1.8200000000,2.2174000000,0.0106000000
1.8400000000,2.1941000000,0.0107000000
1.8600000000,2.1825000000,0.0109000000
1.8800000000,2.1554000000,0.0111000000
1.9000000000,2.1360000000,0.0112000000
1.9200000000,2.1128000000,0.0114000000
1.9400000000,2.1012000000,0.0114000000
1.9600000000,2.0857000000,0.0115000000
1.9800000000,2.0740000000,0.0116000000
2.0000000000,2.0702000000,0.0119000000
2.0200000000,2.0547000000,0.0120000000
2.0400000000,2.0469000000,0.0120000000
2.0600000000,2.0275000000,0.0121000000
2.0800000000,2.0198000000,0.0121000000
2.1000000000,1.9927000000,0.0121000000
2.1200000000,1.9849000000,0.0121000000
2.1400000000,1.9733000000,0.0122000000
2.1600000000,1.9578000000,0.0123000000
2.1800000000,1.9423000000,0.0123000000
2.2000000000,1.9152000000,0.0124000000
2.2200000000,1.9036000000,0.0125000000
2.2400000000,1.8610000000,0.0126000000
2.2600000000,1.8300000000,0.0125000000
2.2800000000,1.7602000000,0.0124000000
2.3000000000,1.7215000000,0.0122000000
2.3200000000,1.6866000000,0.0122000000
2.3400000000,1.6518000000,0.0120000000
2.3600000000,1.6130000000,0.0118000000
2.3800000000,1.5704000000,0.0117000000
2.4000000000,1.5433000000,0.0113000000
2.4200000000,1.5162000000,0.0113000000
2.4400000000,1.4852000000,0.0110000000
2.4600000000,1.4619000000,0.0109000000
2.4800000000,1.4464000000,0.0107000000
2.5000000000,1.4309000000,0.0105000000
2.5200000000,1.4038000000,0.0103000000
2.5400000000,1.3922000000,0.0103000000
2.5600000000,1.3844000000,0.0103000000
2.5800000000,1.3689000000,0.0103000000
2.6000000000,1.3612000000,0.0103000000
2.6200000000,1.3534000000,0.0103000000
2.6400000000,1.3418000000,0.0103000000
2.6600000000,1.3302000000,0.0103000000
2.6800000000,1.3263000000,0.0103000000
2.7000000000,1.3224000000,0.0103000000
2.7200000000,1.3215000000,0.0101000000
2.7400000000,1.3224000000,0.0099000000
2.7600000000,1.3341000000,0.0098000000
2.7800000000,1.3457000000,0.0098000000
2.8000000000,1.3372000000,0.0098000000
2.8200000000,1.3418000000,0.0099000000
2.8400000000,1.3612000000,0.0101000000
2.8600000000,1.3728000000,0.0102000000
2.8800000000,1.3844000000,0.0104000000
2.9000000000,1.3961000000,0.0107000000
2.9200000000,1.3980000000,0.0109000000
2.9400000000,1.4038000000,0.0109000000
2.9600000000,1.3975000000,0.0111000000
2.9800000000,1.3970000000,0.0111000000
3.0000000000,1.3970000000,0.0113000000
